,Medicine Name,Use,Side Effects,Dosage
62,Acetazolamide,"Acetazolamide (Brand Name: Diamox) is a ""water pill"" (diuretic) used to prevent and reduce the symptoms of altitude sickness. Acetazolamide is also used with other medications to treat a certain type of eye problem (open-angle glaucoma). Acetazolamide is available in generic form.","['dizziness, ', 'lightheadedness, and ', 'an increased amount of urine, especially during the first few days as your body adjusts to the medication. \n\t', 'Other side effects of acetazolamide include blurred vision, ', 'dry mouth, ', 'drowsiness, ']",Dosage of Acetazolamide depends on the condition being treated and the patient's response.
63,Diamox Tablets and Injection,"Diamox (acetazolamide) Tablets and Injection is a carbonic anhydrase inhibitor used for adjunctive treatment of edema due to congestive heart failure; drug-induced edema; centrencephalic epilepsies (petit mal, unlocalized seizures); chronic simple (open-angle) glaucoma, secondary glaucoma, and preoperatively in acute angle-closure glaucoma where delay of surgery is desired in order to lower intraocular pressure. Diamox is also indicated for the prevention or amelioration of symptoms associated with acute mountain sickness in climbers attempting rapid ascent and in those who are very susceptible to acute mountain sickness despite gradual ascent.","['headache,', 'feeling unwell (malaise),', 'fatigue,', 'fever,', 'pain at injection site,', 'flushing,']","For diuresis in congestive heart failure, the starting dose of Diamox is usually 250 to 375 mg once daily in the morning (5 mg/kg)."
64,Diamox Sequels,Diamox Sequels (acetazolamide) is a carbonic anhydrase inhibitor used to treat glaucoma and to treat and to prevent acute mountain sickness (altitude sickness). Diamox Sequels is also used as a part of some treatment plans for congestive heart failure and seizure disorders. Diamox Sequels is available in generic form.,"['dizziness, ', 'lightheadedness, and ', 'an increased amount of urine, especially during the first few days as your body adjusts to the medication. \n\t', 'blurred vision or changes in vision, ', 'dry mouth, ', 'drowsiness, ']","To treat glaucoma, the recommended dosage of Diamox Sequels is 1 capsule (500 mg) two times a day. To treat acute mountain sickness, dosage is 500 mg to 1000 mg daily, in divided doses using tablets or extended-release capsules as appropriate."
65,Acetic Acid,Acetic Acid Otic Solution is an antibiotic used to treat infections in the ear canal. Acetic Acid Otic Solution will not treat an inner ear infection (also called otitis media). Acetic Acid Otic Solution is available in generic form.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat, and', 'severe burning or irritation after using the ear drops', 'Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights;', 'Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out;']","To promote continuous contact, insert a wick of cotton saturated with Acetic Acid Otic Solution into the ear canal as instructed by your doctor; the wick may be saturated after insertion. Keep the wick in for at least 24 hours and keep it moist by adding 3 to 5 drops of Acetic Acid Otic Solution every 4 to 6 hours. The wick may be removed after 24 hours but continue to instill 5 drops of Acetic Acid Otic Solution 3 or 4 times daily, as prescribed. In pediatric patients, 3 to 4 drops may be sufficient."
66,Lithostat,"Lithostat (acetohydroxamic acid) tablets are a urease inhibitor indicated as adjunctive therapy in patients with chronic urea-splitting urinary infection. AHA is intended to decrease urinary ammonia and alkalinity, but it should not be used in lieu of curative surgical treatment (for patients with stones) or antimicrobial treatment. Long-term treatment with AHA may be warranted to maintain urease inhibition as long as urea-splitting infection is present.","['mild headaches, ', 'shaking, ', 'nervousness, ', 'nausea, ', 'vomiting, ', 'loss of appetite, ']","The recommended starting dose of Lithostat is 12 mg/kg/day, administered at 6-8 hour intervals at a time when the stomach is empty. The maximum daily dose should be no more than 1.5 grams, regardless of body weight. AHA should be administered orally, one tablet 3-4 times a day in a total daily dose of 10-15 mg/kg/day."
67,Gantrisin,"Gantrisin (acetyl sulfisoxazole pediatric suspension) is a sulfonamide (""sulfa"") antibiotic used to treat or prevent many different types of infections caused by bacteria, such as bladder infections, ear infections, or meningitis. The brand name Gantrisin is discontinued, but generic versions may be available.","['\xa0stomach pain', 'bloating', 'gas', 'headache', 'dizziness', 'ringing in your ears, or ']",The initial dose of Gantrisin for pediatric patients over 2 months of age is one half of the 24-hour dose. Maintenance dose: 150 mg/kg/24 hours or 4 gm/M²/24 hours - dose to be divided into 4 to 6 doses/24 hours.
68,Miochol-E,"Miochol-E (acetylcholine chloride intraocular solution) is a parasympathomimetic preparation used to obtain contraction of the iris of the eye in seconds after delivery of the lens in cataract surgery, in penetrating keratoplasty, iridectomy, and other anterior segment surgery where rapid contraction may be required.","['corneal swelling,', 'clouding, and decompensation;', 'slow heart rate,', 'low blood pressure,', 'flushing (warmth, redness, or tingly feeling),', 'breathing difficulties, and']",Miochol-E is instilled into the anterior chamber of the eye (the space in the eye that is behind the cornea and in front of the iris) before or after securing one or more sutures.
69,Cetylev,Cetylev (acetylcysteine) effervescent tablets for oral solution is an antidote for acetaminophen overdose indicated to prevent or lessen hepatic (liver) injury after ingestion of a potentially hepatotoxic quantity of acetaminophen in patients with acute ingestion or from repeated supratherapeutic ingestion.,"['nausea,', 'vomiting,', 'other gastrointestinal symptoms, and', 'rash with or without fever']",The loading dose of Cetylev is140 mg/kg administered orally. The maintenance dose of Cetylev is 70 mg/kg repeated every 4 hours for a total of 17 doses.
70,Acetadote,Acetadote (acetylcysteine) Injection is an amino acid used to prevent or lessen hepatic injury due to acetaminophen overdose. Acetadote is available in generic form.,"['rash,', 'hives, \n', 'facial flushing (warmth, redness, or tingly feeling), itching, respiratory symptoms (cough, wheezing, noisy breathing, shortness of breath, chest tightness, or bronchospasm), \n', 'swelling, or low blood pressure (hypotension)\n']",The recommended dose of Acetadote is 300 mg/kg administered over 21 hours.
71,Acetylcysteine Solution,"Mucomyst (Acetylcysteine Solution n-acetyl-l-cysteine) is a solution of a naturally occurring amino acid that is used to help clear mucus (acts as a mucolytic agent) and material entrapped in mucus in people that have thick mucus that may interfere with breathing or other functions. For example, 
Mucomyst (Acetylcysteine Solution)  may be used to help clear mucus in COPD, cystic fibrosis, pneumonia, and in tracheostomy care. 
Mucomyst (Acetylcysteine Solution) may also be used as an antidote for acetaminophen toxicity. 
Mucomyst (Acetylcysteine Solution) is available as a generic.","['inflammation of the mouth, ', 'nausea, ', 'vomiting, ', 'fever, ', 'runny nose, ', 'drowsiness, ']","When nebulized into a face mask, mouthpiece, or tracheostomy, 1 to 10 mL of the 20% 
Mucomyst (Acetylcysteine Solution) or 2 to 20 mL of the 10% solution may be given every 2 to 6 hours; the recommended dose of 
Mucomyst (Acetylcysteine Solution) for most patients is 3 to 5 mL of the 20% solution or 6 to 10 mL of the 10% solution three to four times a day."
72,Trianal,"Trianal (butalbital, acetylsalicylic acid, and caffeine tablets or capsules) is a combination of a barbiturate, an analgesic (pain reliever), and a mild stimulant indicated for the relief of tension-type headache. Trianal is a Canadian brand name for butalbital, acetylsalicylic acid (aspirin), and caffeine. A brand name for butalbital, aspirin, and caffeine in the U.S. is Fiorinal. ","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'decreased coordination,', 'fast, slow, irregular, or pounding heartbeat,', 'irritability,']","The adult dose of Trianal is 1 or 2 tablets/capsules followed by 1 tablet/capsule every 3 to 4 hours, if needed."
73,Achromycin V,"Achromycin V (tetracycline HCl) Capsules are antibiotics indicated to treat a wide variety of bacterial infections. In severe acne, adjunctive therapy with Achromycin V may be useful. Achromycin V is available in generic form.","['loss of appetite, ', 'nausea, ', 'upset stomach, ', 'vomiting, ', 'diarrhea, ', 'swollen or black hairy tongue, ']",The usual adult daily dose of Achromycin V is 1 gram as 500 mg twice daily or 250 mg four times a day.
74,Aci-Jel,"Aci-Jel Vaginal Jelly (acetic acid/ricinoleic acid/oxyquinoline) is a combination of a vinegar (acetic acid) and ingredients that help the acetic acid work better used to help restore and maintain the natural acid balance (pH) of the vagina, thereby treating vaginal infections (e.g., yeast, fungi) or making them less likely to occur.",[],"The usual dose of Aci-Jel Vaginal Jelly is one applicatorful, administered intravaginally, morning and evening. Duration of treatment may be determined by the patient's response to therapy."
75,Acidul,Acidul (sodium fluoride) Chewable is fluoride tablets used as a dental cavity preventive in pediatric patients in areas where the drinking water fluoride level does not exceed 0.6 ppm F. Acidul is available in generic form.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'very upset stomach,', 'nausea,', 'vomiting, and']","Dose of Acidul ranges from 0.25 mg to 1 mg, depending on the child's age, and the amount of fluoride in their drinking water."
76,Aciphex,"Aciphex (rabeprazole sodium) is a proton pump inhibitor (PPI) to reduce stomach acid and is used for the treatment of gastroesophageal reflux disease (GERD), duodenal ulcers, and used in combination with antibiotics to treat Helicobacter pylori (H. pylori) bacterial infections in the stomach. Aciphex is available as generic termed rabeprazole sodium.","['severe stomach pain,', 'bloody diarrhea,', 'sudden pain or difficulty moving hip, wrist or back,', 'seizure (convulsions),', 'urinating less than usual,', 'blood in your urine,']",Aciphex is available in 20 mg strength enteric-coated tablets. The usual dose of Aciphex is one 20 mg tablet per day for 4 to 8 weeks.
